Date,Rate Per Mile,Gasoline - All Grades,Avo Average Price,Temp (F)
2017-07-10,2.7414285714285715,2.411,1.17,74.44083333333333
2017-07-17,2.7414285714285715,2.392,1.33,71.99374999999998
2017-07-24,2.538571428571428,2.426,1.31,71.55791666666666
2017-07-31,2.544285714285714,2.467,1.32,72.45041666666664
2017-08-07,2.5157142857142856,2.492,1.33,73.7275
2017-08-14,2.4957142857142856,2.497,1.33,69.26041666666666
2017-08-21,2.45,2.474,1.41,71.73833333333334
2017-08-28,2.45,2.513,1.47,73.0475
2017-09-04,2.468571428571429,2.7939999999999996,1.57,73.5348
2017-09-11,2.4714285714285715,2.8,1.56,75.705
2017-09-18,2.5285714285714285,2.75,1.57,71.09833333333334
2017-09-25,2.5357142857142856,2.701,1.62,70.88208333333334
2017-10-02,2.5357142857142856,2.682,1.64,69.23791666666666
2017-10-09,2.617142857142857,2.622,1.65,69.31041666666668
2017-10-16,2.5537499999999995,2.605,1.58,75.87166666666666
2017-10-23,2.525,2.594,1.44,77.11666666666669
2017-10-30,2.5475,2.602,1.29,65.32375
2017-11-06,2.5949999999999998,2.673,1.19,63.83166666666666
2017-11-13,2.6675000000000004,2.7060000000000004,1.15,63.63291666666669
2017-11-20,2.6675000000000004,2.6830000000000003,1.17,61.57875000000001
2017-11-27,2.6849999999999996,2.648,1.24,62.12958333333335
2017-12-04,2.69125,2.617,1.09,58.97708333333333
2017-12-11,2.69125,2.6010000000000004,1.03,66.47916666666667
2017-12-18,2.6799999999999997,2.568,1.07,58.68125
2017-12-25,2.6799999999999997,2.589,1.18,55.33291666666666
2018-01-01,3.1487499999999997,2.637,0.98,56.97291666666666
2018-01-08,3.2074999999999996,2.639,1.13,63.86416666666667
2018-01-15,3.17375,2.673,1.2,61.36750000000001
2018-01-22,3.0725,2.6839999999999997,1.08,54.856666666666676
2018-01-29,2.9225,2.7230000000000003,1.09,66.44249999999998
2018-02-05,2.7477777777777774,2.753,0.87,59.53375
2018-02-12,2.663333333333333,2.7239999999999998,0.97,60.91916666666666
2018-02-19,2.581111111111111,2.676,1.08,58.03541666666666
2018-02-26,2.565555555555555,2.6660000000000004,1.06,55.39791666666667
2018-03-05,2.541111111111111,2.679,1.07,56.075416666666676
2018-03-12,2.533333333333333,2.677,1.09,62.26708333333333
2018-03-19,2.565555555555555,2.716,1.05,56.55125
2018-03-26,2.5822222222222218,2.764,1.03,55.59625
2018-04-02,2.651111111111111,2.8169999999999997,,59.48708333333333
2018-04-09,2.7622222222222224,2.8110000000000004,,64.39
2018-04-16,2.854444444444445,2.863,,61.50625
2018-04-23,2.945555555555556,2.9139999999999997,,61.51500000000001
2018-04-30,2.977777777777778,2.9610000000000003,,59.90041666666665
2018-05-07,2.9755555555555553,2.96,,62.67583333333334
2018-05-14,2.9755555555555553,2.949,,62.70791666666667
2018-05-21,3.0355555555555553,2.9989999999999997,,60.86083333333334
2018-05-28,3.081111111111111,3.0389999999999997,,64.09249999999999
2018-06-04,3.5,3.0180000000000002,,65.09208333333333
2018-06-11,3.445555555555556,2.989,,66.79166666666667
2018-06-18,3.3477777777777775,2.958,,66.27416666666669
2018-06-25,3.236666666666667,2.9130000000000003,,66.33125
2018-07-02,3.215555555555555,2.924,,68.35041666666667
2018-07-09,3.1188888888888893,2.937,,76.93291666666667
2018-07-16,3.1188888888888893,2.943,,70.27583333333334
2018-07-23,3.0444444444444443,2.911,,76.68875
2018-07-30,3.014444444444445,2.924,,76.92875000000002
2018-08-06,2.8777777777777778,2.93,,76.11750000000002
2018-08-13,2.8744444444444444,2.9210000000000003,,75.58833333333331
2018-08-20,2.8744444444444444,2.9,,74.16125
2018-08-27,2.8744444444444444,2.906,,72.25916666666667
2018-09-03,2.8744444444444444,2.903,,71.36041666666667
2018-09-10,2.8711111111111105,2.912,,69.90833333333333
2018-09-17,2.851111111111111,2.9210000000000003,,71.55333333333334
2018-09-24,2.851111111111111,2.923,,66.93541666666665
2018-10-01,2.851111111111111,2.947,,74.35875
2018-10-08,2.79,2.984,,65.81583333333333
2018-10-15,2.761111111111111,2.9610000000000003,,67.9225
2018-10-22,2.691111111111111,2.925,,65.39333333333333
2018-10-29,2.698888888888889,2.8960000000000004,,65.1675
2018-11-05,2.755555555555556,2.84,,63.88083333333333
2018-11-12,3.286666666666667,2.773,,62.52291666666667
2018-11-19,3.391111111111111,2.7,,60.82125
2018-11-26,3.0066666666666664,2.63,,63.5925
